,feature,weight
2497,vmovgt.f64,0.0008563319032494837
984,mlas,0.0008551201357971766
218,bfcne,0.00085494538404149
2545,vmul.f32,0.0008500079508679953
2690,vqsub.u16,0.0008417066787184094
685,ldrb.gt.w,0.0008335202271702886
439,cmppl,0.000832828863595432
1743,strh.ge,0.0008285867222729945
2446,vmov.f32,0.0008189984875703022
916,lsr.eq,0.0008164116227370272
334,bxcs,0.000809688000436008
1361,rscle,0.0008096710939155549
1996,usada8,0.0008056254488620011
2415,vmlal.u8,0.0008024919531792001
2393,vmla.f32,0.0008019686187593426
2315,vld1.64,0.0008004599818524697
2420,vmlane.f64,0.0007965633693434812
1043,movt.eq,0.0007945741334044972
490,eoreqs,0.0007928856539078515
1639,str.w.ls,0.0007907114922115985
294,blmi,0.0007886624485723601
2316,vld1.8,0.0007873439684557371
1201,orr.cs,0.0007870203411857541
1195,orn.w,0.0007811924877825133
668,ldr.ne,0.0007760295433708732
2522,vmovne.f64,0.0007751703997371553
2421,vmls.f32,0.000773298270906995
1797,strvs,0.0007711260190344251
2879,vzip16,0.0007702751654855185
2132,vaddne.f32,0.0007614894105656185
1005,mov.hi,0.0007586068516098136
1308,rsb.cs,0.0007581389239624057
858,ldrsh.w,0.0007548068580785309
1942,tst.w,0.0007537548321885208
2832,vsub.i64,0.000751302760143218
209,bcs.w,0.000751072790524709
1253,pld,0.0007468890865026368
1073,movw.hi,0.0007468582735797649
2140,vand,0.0007464429277626238
2108,vadd.i8,0.0007444898742061284
434,cmple,0.0007401120876588259
2824,vsub.f32,0.000737301317079172
322,bx.eq,0.0007337084809191563
2147,vcadd.f32,0.000727148629077347
1499,stcleq,0.0007211711650098354
1811,sub.le,0.0007210347233397162
288,blge,0.0007176205579077638
1199,orr.cc,0.0007170879478563302
2861,vsubmi.f64,0.0007146615466676593
1931,teq.ne.w,0.0007144246134266891
2372,vldrne.32,0.0007105404956193969
1483,smulwb,0.0007013210670334996
869,ldrshne,0.0006997958028175966
2299,vdup.16,0.0006980138529321074
2825,vsub.f64,0.0006975228702414952
894,lsl.le,0.00069721758127421
756,ldrexd,0.000695406062304776
1796,strvc,0.0006951073147106213
321,bx.cc,0.000694009147971398
2359,vldrge.64,0.0006932558612937446
1269,push.cc,0.0006919984511462611
264,bicge,0.0006914907497914939
2252,vcvt.ne.s32.f64,0.000690747633859628
2098,vadd.f32,0.0006876700128312875
2173,vcmpe.gt.f32,0.0006861146447451731
2130,vaddmi.f32,0.0006813059630149472
1925,sxthne,0.0006801613511388748
1592,stmibeq,0.0006791447147887693
2870,vtrn.32,0.0006784447621935877
765,ldrh.eq,0.0006780249507345663
1476,smullgt,0.0006726152666342446
304,blx.eq,0.0006713032370862242
2751,vshrn.16,0.0006683409727029091
1306,rsb.cc,0.0006637129760047783
1183,nop.w,0.0006554064769538495
2803,vstreq.32,0.0006536230229290292
1872,swimi,0.0006532349271340939
1807,sub.gt,0.0006491580843723343
324,bx.gt,0.0006477480351074464
1664,strb.mi,0.0006445790074045542
941,mcr2,0.0006396391219003803
2106,vadd.i32,0.000638032300651107
26,add.eq.w,0.000635621767554403
1000,mov.eq.w,0.0006355441775854693
1382,sbcscc,0.0006352420095264851
1550,stmdavs,0.0006349874962932288
1609,str.eq,0.0006339680643992647
2177,vcmpe.le.f32,0.0006305227655291033
2619,vnmls.f64,0.0006261912602030578
1868,swihi,0.0006257265965349434
1490,stc2l,0.0006199706899998862
301,blvc,0.000617108534090194
1557,stmdbgt,0.0006151732925565549
178,asr.w,0.0006141173931744622
1330,rsb.w,0.000613687796939974
1012,mov.lt.w,0.0006126519683185568
2698,vrev32.8,0.0006103637960821551
2477,vmov.pl.f32,0.0006071929336933299
1058,movthi,0.000605990303814997
1180,mvns.w,0.0006043917017033207
1013,mov.mi,0.0006041933315593207
1089,movwmi,0.0006032167058119409
1803,sub.eq,0.0006029452524407464
1170,mvnle,0.0006021183360606688
1909,sxth.le.w,0.0005945064039264387
1661,strb.ls.w,0.0005923287660280489
1636,str.w.gt,0.000590302248935626
966,mla.le,0.0005882119745285006
1625,str.ne,0.0005871285393888228
2507,vmovle.f64,0.000582836282530798
1948,tstmi,0.0005817116552946158
